direction,scaling_factor,turning_point_buffer
285,0.001,13
285,0.002,13
285,0.003,13
285,0.004,13
285,0.005,13
285,0.006,12
285,0.007,12
285,0.008,12
285,0.009,12
285,0.01,12
315,0.001,7
315,0.002,7
315,0.003,7
315,0.004,7
315,0.005,6
315,0.006,6
315,0.007,6
315,0.008,6
315,0.009,6
315,0.01,6
345,0.001,12
345,0.002,12
345,0.003,12
345,0.004,12
345,0.005,12
345,0.006,12
345,0.007,11
345,0.008,11
345,0.009,11
345,0.01,11
