buffer_id,COUNT,AREA,MEAN
1,1573.00000000000,7707700.00000000000,18.04042253200
2,1656.00000000000,8114400.00000000000,18.10881337900
3,1648.00000000000,8075200.00000000000,18.02506708570
4,1591.00000000000,7795900.00000000000,18.27978607290
5,1595.00000000000,7815500.00000000000,18.28592183830
6,1446.00000000000,7085400.00000000000,18.29284024000
7,1331.00000000000,6521900.00000000000,18.49934181450
8,1103.00000000000,5404700.00000000000,18.57431971390
9,1014.00000000000,4968600.00000000000,18.38235107320
10,966.00000000000,4733400.00000000000,18.53959400540
11,916.00000000000,4488400.00000000000,18.38838807140
12,885.00000000000,4336500.00000000000,18.24288283720
13,772.00000000000,3782800.00000000000,17.92772741150
14,613.00000000000,3003700.00000000000,17.97635825360
15,432.00000000000,2116800.00000000000,18.05703648190
16,308.00000000000,1509200.00000000000,17.44961692960
17,175.00000000000,857500.00000000000,17.23174671490
18,78.00000000000,382200.00000000000,17.24042498390
19,2.00000000000,9800.00000000000,18.71581370940
20,1669.00000000000,8178100.00000000000,19.54828424860
21,1585.00000000000,7766500.00000000000,19.06938928740
22,1718.00000000000,8418200.00000000000,18.91995691040
23,1874.00000000000,9182600.00000000000,18.67897005750
24,1924.00000000000,9427600.00000000000,18.55120352560
25,1852.00000000000,9074800.00000000000,18.52218051080
26,1715.00000000000,8403500.00000000000,18.63498908870
27,1639.00000000000,8031100.00000000000,18.41159814600
28,1720.00000000000,8428000.00000000000,18.25937851700
29,1594.00000000000,7810600.00000000000,18.42780756370
30,1510.00000000000,7399000.00000000000,18.58513341810
31,1524.00000000000,7467600.00000000000,18.35378547630
32,1682.00000000000,8241800.00000000000,17.98383427490
33,4.00000000000,19600.00000000000,23.00438616630
34,96.00000000000,470400.00000000000,20.00672863190
35,782.00000000000,3831800.00000000000,19.87607396990
36,13.00000000000,63700.00000000000,20.89991982650
37,926.00000000000,4537400.00000000000,19.62817701510
38,1021.00000000000,5002900.00000000000,19.28862696150
39,668.00000000000,3273200.00000000000,18.65810315910
40,403.00000000000,1974700.00000000000,18.24196240620
42,230.00000000000,1127000.00000000000,18.48501422780
43,62.00000000000,303800.00000000000,18.50981927110
44,740.00000000000,3626000.00000000000,17.38762724030
45,685.00000000000,3356500.00000000000,17.09585034470
46,543.00000000000,2660700.00000000000,17.26019261310
47,451.00000000000,2209900.00000000000,17.36293780900
48,393.00000000000,1925700.00000000000,17.57386292730
49,327.00000000000,1602300.00000000000,17.83578424170
50,234.00000000000,1146600.00000000000,17.88914269620
51,208.00000000000,1019200.00000000000,17.52829734260
52,130.00000000000,637000.00000000000,17.94966643800
53,26.00000000000,127400.00000000000,19.17503287820
54,1359.00000000000,6659100.00000000000,19.27083471180
55,1039.00000000000,5091100.00000000000,18.81684109190
56,16.00000000000,78400.00000000000,17.05280937770
57,1290.00000000000,6321000.00000000000,18.41925987060
58,1180.00000000000,5782000.00000000000,18.31308446670
59,1110.00000000000,5439000.00000000000,18.32618093910
60,1035.00000000000,5071500.00000000000,18.26321849810
61,972.00000000000,4762800.00000000000,17.88661357360
62,876.00000000000,4292400.00000000000,17.64219541480
63,916.00000000000,4488400.00000000000,17.49658115610
64,872.00000000000,4272800.00000000000,17.50821807860
65,821.00000000000,4022900.00000000000,17.49006482540
66,766.00000000000,3753400.00000000000,17.52702562590
67,595.00000000000,2915500.00000000000,16.94172399290
68,3127.00000000000,15322300.00000000000,18.41890552550
69,3.00000000000,14700.00000000000,19.46873771390
70,2097.00000000000,10275300.00000000000,18.00829129280
71,1172.00000000000,5742800.00000000000,17.83348407990
72,954.00000000000,4674600.00000000000,17.64542347190
73,506.00000000000,2479400.00000000000,17.40908467800
74,367.00000000000,1798300.00000000000,17.38041475240
75,83.00000000000,406700.00000000000,16.87075871820
76,1081.00000000000,5296900.00000000000,17.54383922500
77,945.00000000000,4630500.00000000000,17.27277952700
78,347.00000000000,1700300.00000000000,16.97970528980
79,278.00000000000,1362200.00000000000,17.52094849470
80,143.00000000000,700700.00000000000,17.92444482090
82,12.00000000000,58800.00000000000,19.06663417410
83,31.00000000000,151900.00000000000,19.21524138360
84,1561.00000000000,7648900.00000000000,19.20341502340
85,1289.00000000000,6316100.00000000000,18.83495888030
86,1220.00000000000,5978000.00000000000,18.66676389770
87,1390.00000000000,6811000.00000000000,18.79487155730
88,1479.00000000000,7247100.00000000000,18.68992045210
89,1430.00000000000,7007000.00000000000,18.60704193270
90,1322.00000000000,6477800.00000000000,18.22924309730
91,1362.00000000000,6673800.00000000000,18.03625704430
92,1314.00000000000,6438600.00000000000,17.83769656580
93,1275.00000000000,6247500.00000000000,17.65171927680
94,1323.00000000000,6482700.00000000000,17.51218158920
95,1219.00000000000,5973100.00000000000,17.51275582930
97,430.00000000000,2107000.00000000000,17.13090564670
98,7.00000000000,34300.00000000000,21.18883450870
99,4191.00000000000,20535900.00000000000,19.78750684920
100,332.00000000000,1626800.00000000000,19.30491839780
101,2743.00000000000,13440700.00000000000,19.61815648170
102,65.00000000000,318500.00000000000,19.55929946040
103,163.00000000000,798700.00000000000,20.03179457830
104,1794.00000000000,8790600.00000000000,19.15384560360
105,1665.00000000000,8158500.00000000000,18.98875631770
106,1479.00000000000,7247100.00000000000,18.99922284220
107,3.00000000000,14700.00000000000,19.60958568230
108,966.00000000000,4733400.00000000000,18.58965335880
109,838.00000000000,4106200.00000000000,18.55992315520
110,728.00000000000,3567200.00000000000,18.54332556810
111,455.00000000000,2229500.00000000000,18.40014168560
112,27.00000000000,132300.00000000000,18.40812970340
