buffer_id,COUNT,AREA,MEAN
1,8483.00000000000,7634700.00000000000,35.27475063940
2,8985.00000000000,8086500.00000000000,35.64921518890
3,8976.00000000000,8078400.00000000000,35.54354169930
4,8617.00000000000,7755300.00000000000,36.18883089300
5,8676.00000000000,7808400.00000000000,35.94682111180
6,7934.00000000000,7140600.00000000000,36.24546273870
7,7065.00000000000,6358500.00000000000,36.45422770290
8,5947.00000000000,5352300.00000000000,36.17819670750
9,5517.00000000000,4965300.00000000000,35.89456228000
10,5344.00000000000,4809600.00000000000,35.85269028870
11,5040.00000000000,4536000.00000000000,35.43588184350
12,4840.00000000000,4356000.00000000000,35.05198484910
13,4184.00000000000,3765600.00000000000,34.61396218160
14,3306.00000000000,2975400.00000000000,34.88571867980
15,2353.00000000000,2117700.00000000000,35.45620689610
16,1646.00000000000,1481400.00000000000,35.14900516970
17,957.00000000000,861300.00000000000,35.04289755570
18,411.00000000000,369900.00000000000,33.85275182890
19,13.00000000000,11700.00000000000,34.20635927010
20,8975.00000000000,8077500.00000000000,35.06362950290
21,8685.00000000000,7816500.00000000000,34.87852631600
22,9488.00000000000,8539200.00000000000,35.07759286850
23,10095.00000000000,9085500.00000000000,34.67362857890
24,10493.00000000000,9443700.00000000000,34.76169883090
25,10006.00000000000,9005400.00000000000,34.91920314680
26,9326.00000000000,8393400.00000000000,35.17137410060
27,8927.00000000000,8034300.00000000000,35.37035129370
28,9422.00000000000,8479800.00000000000,35.54158975810
29,8712.00000000000,7840800.00000000000,35.79890730810
30,8176.00000000000,7358400.00000000000,36.25196820840
31,8397.00000000000,7557300.00000000000,35.90418126210
32,9230.00000000000,8307000.00000000000,36.01613387310
34,449.00000000000,404100.00000000000,34.74054492650
35,4299.00000000000,3869100.00000000000,36.95291928480
36,73.00000000000,65700.00000000000,36.67373654620
37,5073.00000000000,4565700.00000000000,37.34849954140
38,5528.00000000000,4975200.00000000000,37.52392099500
39,3734.00000000000,3360600.00000000000,36.92966523560
40,2246.00000000000,2021400.00000000000,36.62475381890
42,1273.00000000000,1145700.00000000000,37.30699675210
43,359.00000000000,323100.00000000000,38.91793840410
44,4044.00000000000,3639600.00000000000,33.10867508610
45,3745.00000000000,3370500.00000000000,32.29994399970
46,2903.00000000000,2612700.00000000000,33.54625051220
47,2487.00000000000,2238300.00000000000,33.72274020390
48,2157.00000000000,1941300.00000000000,34.31816673840
49,1761.00000000000,1584900.00000000000,34.14752474010
50,1319.00000000000,1187100.00000000000,34.63665646320
51,1113.00000000000,1001700.00000000000,34.75222539400
52,719.00000000000,647100.00000000000,35.39824972030
53,123.00000000000,110700.00000000000,37.71037490960
54,7441.00000000000,6696900.00000000000,33.68965668900
55,5723.00000000000,5150700.00000000000,33.37504169020
56,69.00000000000,62100.00000000000,31.19392552290
57,6980.00000000000,6282000.00000000000,32.81820784620
58,6392.00000000000,5752800.00000000000,32.84567583250
59,6163.00000000000,5546700.00000000000,32.84936945150
60,5710.00000000000,5139000.00000000000,33.23669196540
61,5179.00000000000,4661100.00000000000,32.60670664020
62,4864.00000000000,4377600.00000000000,32.40103430480
63,5030.00000000000,4527000.00000000000,32.92055851460
64,4739.00000000000,4265100.00000000000,32.96115068230
65,4514.00000000000,4062600.00000000000,33.01875884700
66,4165.00000000000,3748500.00000000000,33.63108509690
67,3256.00000000000,2930400.00000000000,32.62000677190
68,16912.00000000000,15220800.00000000000,32.64860600280
69,12.00000000000,10800.00000000000,32.87527870540
70,11387.00000000000,10248300.00000000000,32.28134914070
71,6361.00000000000,5724900.00000000000,31.99023442960
72,5096.00000000000,4586400.00000000000,31.86283530970
73,2772.00000000000,2494800.00000000000,32.79228905450
74,1991.00000000000,1791900.00000000000,33.33691063220
75,437.00000000000,393300.00000000000,32.51968003710
76,5914.00000000000,5322600.00000000000,37.52408016160
77,5214.00000000000,4692600.00000000000,37.80456153880
78,1935.00000000000,1741500.00000000000,37.46183741040
79,1521.00000000000,1368900.00000000000,38.32587963190
80,794.00000000000,714600.00000000000,39.31277521960
82,63.00000000000,56700.00000000000,37.80154954050
83,209.00000000000,188100.00000000000,38.93510150740
84,8383.00000000000,7544700.00000000000,36.99654571580
85,7141.00000000000,6426900.00000000000,36.78131952900
86,6651.00000000000,5985900.00000000000,36.38933381040
87,7409.00000000000,6668100.00000000000,36.36529116010
88,8118.00000000000,7306200.00000000000,36.50974655730
89,7834.00000000000,7050600.00000000000,36.43858049300
90,7135.00000000000,6421500.00000000000,36.72757571390
91,7490.00000000000,6741000.00000000000,37.04276101820
92,7153.00000000000,6437700.00000000000,36.75831276250
93,6968.00000000000,6271200.00000000000,36.85004237170
94,7089.00000000000,6380100.00000000000,36.75480569390
95,6659.00000000000,5993100.00000000000,37.27714493030
96,24.00000000000,21600.00000000000,37.93428721700
97,2367.00000000000,2130300.00000000000,37.12458761780
98,42.00000000000,37800.00000000000,32.06301458580
99,22567.00000000000,20310300.00000000000,31.74450032150
100,1789.00000000000,1610100.00000000000,31.79527914370
101,15043.00000000000,13538700.00000000000,31.59729381300
102,333.00000000000,299700.00000000000,29.86770640910
103,904.00000000000,813600.00000000000,31.73165697570
104,9810.00000000000,8829000.00000000000,32.28780930520
105,8960.00000000000,8064000.00000000000,32.25132730190
106,7997.00000000000,7197300.00000000000,31.71967950020
107,16.00000000000,14400.00000000000,33.09330991750
108,5308.00000000000,4777200.00000000000,31.95846376870
109,4570.00000000000,4113000.00000000000,31.74849290880
110,3894.00000000000,3504600.00000000000,31.75610386100
111,2484.00000000000,2235600.00000000000,31.81192254480
