BUFFER_ID,COUNT,AREA,MEAN
1,26047.00000000000,127630300.00000000000,20.91282368420
2,20757.00000000000,101709300.00000000000,21.31248649680
3,24660.00000000000,120834000.00000000000,20.61662469380
4,1402.00000000000,6869800.00000000000,19.19532260510
5,1055.00000000000,5169500.00000000000,18.79008800430
6,1288.00000000000,6311200.00000000000,18.41674863200
7,1108.00000000000,5429200.00000000000,18.32460701080
8,1034.00000000000,5066600.00000000000,18.26227427620
9,971.00000000000,4757900.00000000000,17.88634401440
10,876.00000000000,4292400.00000000000,17.64219541480
11,916.00000000000,4488400.00000000000,17.49658115610
12,871.00000000000,4267900.00000000000,17.50815603050
13,820.00000000000,4018000.00000000000,17.49047099140
14,766.00000000000,3753400.00000000000,17.52702562590
15,739.00000000000,3621100.00000000000,17.38834937180
16,684.00000000000,3351600.00000000000,17.09671826420
17,595.00000000000,2915500.00000000000,16.94172399290
18,543.00000000000,2660700.00000000000,17.26019261310
19,451.00000000000,2209900.00000000000,17.36293780900
20,393.00000000000,1925700.00000000000,17.57386292730
21,328.00000000000,1607200.00000000000,17.83800059180
22,234.00000000000,1146600.00000000000,17.88914269620
23,209.00000000000,1024100.00000000000,17.53279158000
24,136.00000000000,666400.00000000000,17.93418615760
25,33.00000000000,161700.00000000000,19.29934820470
27,1670.00000000000,8183000.00000000000,19.54929959480
28,1604.00000000000,7859600.00000000000,19.20262028960
29,1288.00000000000,6311200.00000000000,18.83331123800
30,1586.00000000000,7771400.00000000000,19.07057953510
31,1218.00000000000,5968200.00000000000,18.66409383430
32,1722.00000000000,8437800.00000000000,18.92284821830
33,1879.00000000000,9207100.00000000000,18.68115722290
34,1474.00000000000,7222600.00000000000,18.69046972950
35,1931.00000000000,9461900.00000000000,18.55181347750
36,1426.00000000000,6987400.00000000000,18.60415952900
37,1857.00000000000,9099300.00000000000,18.52496301840
38,1318.00000000000,6458200.00000000000,18.22471175960
39,1720.00000000000,8428000.00000000000,18.63723483610
40,1357.00000000000,6649300.00000000000,18.03372279880
41,1644.00000000000,8055600.00000000000,18.41254842920
42,1310.00000000000,6419000.00000000000,17.83739968240
43,1724.00000000000,8447600.00000000000,18.25862572660
44,1273.00000000000,6237700.00000000000,17.65184037000
45,1597.00000000000,7825300.00000000000,18.42619712300
46,1319.00000000000,6463100.00000000000,17.50803831000
47,1515.00000000000,7423500.00000000000,18.58496513640
48,1216.00000000000,5958400.00000000000,17.51087970130
49,1527.00000000000,7482300.00000000000,18.35362718080
50,1076.00000000000,5272400.00000000000,17.54162634200
51,1579.00000000000,7737100.00000000000,18.03960663270
52,939.00000000000,4601100.00000000000,17.26760195400
53,1663.00000000000,8148700.00000000000,18.10775440000
54,424.00000000000,2077600.00000000000,17.12961067570
55,1688.00000000000,8271200.00000000000,17.98112781510
56,340.00000000000,1666000.00000000000,16.97512211500
57,1655.00000000000,8109500.00000000000,18.02158717440
58,270.00000000000,1323000.00000000000,17.52371047920
59,1599.00000000000,7835100.00000000000,18.27552313580
60,134.00000000000,656600.00000000000,17.95807498100
61,1604.00000000000,7859600.00000000000,18.28108409850
62,1445.00000000000,7080500.00000000000,18.29265345320
63,1331.00000000000,6521900.00000000000,18.49934181450
64,1102.00000000000,5399800.00000000000,18.57441656210
65,1008.00000000000,4939200.00000000000,18.38701518620
66,959.00000000000,4699100.00000000000,18.53067797010
67,916.00000000000,4488400.00000000000,18.38838807140
68,885.00000000000,4336500.00000000000,18.24288283720
69,772.00000000000,3782800.00000000000,17.92772741150
70,613.00000000000,3003700.00000000000,17.97635825360
71,432.00000000000,2116800.00000000000,18.05703648190
72,308.00000000000,1509200.00000000000,17.44961692960
73,175.00000000000,857500.00000000000,17.23174671490
74,78.00000000000,382200.00000000000,17.24042498390
75,2.00000000000,9800.00000000000,18.71581370940
77,1385.00000000000,6786500.00000000000,18.79232269360
78,1180.00000000000,5782000.00000000000,18.31308446670
