Id,hex_id,bra,,,,,,,,,
35069,35069,1,,,,,,,,,
35427,35427,1,,,,,,,,,
35428,35428,1,,,,,,,,,
35429,35429,1,,,,,,,,,
35430,35430,1,,,,,,,,,
35788,35788,1,,,,,,,,,
35789,35789,1,,,,,,,,,
35790,35790,1,,,,,,,,,
35791,35791,1,,,,,,,,,
36149,36149,1,,,,,,,,,
36150,36150,1,,,,,,,,,
36151,36151,1,,,,,,,,,
36152,36152,1,,,,,,,,,
36510,36510,1,,,,,,,,,
36511,36511,1,,,,,,,,,
36512,36512,1,,,,,,,,,
36513,36513,1,,,,,,,,,
36871,36871,1,,,,,,,,,
36872,36872,1,,,,,,,,,
36873,36873,1,,,,,,,,,
36874,36874,1,,,,,,,,,
37232,37232,1,,,,,,,,,
37233,37233,1,,,,,,,,,
37234,37234,1,,,,,,,,,
37235,37235,1,,,,,,,,,
37593,37593,1,,,,,,,,,
37594,37594,1,,,,,,,,,
37595,37595,1,,,,,,,,,
37596,37596,1,,,,,,,,,
37954,37954,1,,,,,,,,,
37955,37955,1,,,,,,,,,
37956,37956,1,,,,,,,,,
37957,37957,1,,,,,,,,,
38315,38315,1,,,,,,,,,
38316,38316,1,,,,,,,,,
38317,38317,1,,,,,,,,,
38318,38318,1,,,,,,,,,
38676,38676,1,,,,,,,,,
38677,38677,1,,,,,,,,,
38678,38678,1,,,,,,,,,
38679,38679,1,,,,,,,,,
39037,39037,1,,,,,,,,,
39038,39038,1,,,,,,,,,
39039,39039,1,,,,,,,,,
39040,39040,1,,,,,,,,,
39398,39398,1,,,,,,,,,
39399,39399,1,,,,,,,,,
39400,39400,1,,,,,,,,,
39401,39401,1,,,,,,,,,
39759,39759,1,,,,,,,,,
39760,39760,1,,,,,,,,,
39761,39761,1,,,,,,,,,
39762,39762,1,,,,,,,,,
40120,40120,1,,,,,,,,,
40121,40121,1,,,,,,,,,
40122,40122,1,,,,,,,,,
40123,40123,1,,,,,,,,,
40481,40481,1,,,,,,,,,
40482,40482,1,,,,,,,,,
40483,40483,1,,,,,,,,,
40484,40484,1,,,,,,,,,
40842,40842,1,,,,,,,,,
40843,40843,1,,,,,,,,,
40844,40844,1,,,,,,,,,
40845,40845,1,,,,,,,,,
41203,41203,1,,,,,,,,,
41204,41204,1,,,,,,,,,
41205,41205,1,,,,,,,,,
41206,41206,1,,,,,,,,,
41564,41564,1,,,,,,,,,
41565,41565,1,,,,,,,,,
41566,41566,1,,,,,,,,,
41567,41567,1,,,,,,,,,
41568,41568,1,,,,,,,,,
41926,41926,1,,,,,,,,,
41927,41927,1,,,,,,,,,
41928,41928,1,,,,,,,,,
41929,41929,1,,,,,,,,,
42287,42287,1,,,,,,,,,
42288,42288,1,,,,,,,,,
42289,42289,1,,,,,,,,,
42290,42290,1,,,,,,,,,
42648,42648,1,,,,,,,,,
42649,42649,1,,,,,,,,,
42650,42650,1,,,,,,,,,
42651,42651,1,,,,,,,,,
43009,43009,1,,,,,,,,,
43010,43010,1,,,,,,,,,
43011,43011,1,,,,,,,,,
43012,43012,1,,,,,,,,,
43370,43370,1,,,,,,,,,
43371,43371,1,,,,,,,,,
43372,43372,1,,,,,,,,,
43373,43373,1,,,,,,,,,
43733,43733,1,,,,,,,,,
43734,43734,1,,,,,,,,,
44092,44092,1,,,,,,,,,
44093,44093,1,,,,,,,,,
44094,44094,1,,,,,,,,,
44095,44095,1,,,,,,,,,
44453,44453,1,,,,,,,,,
44455,44455,1,,,,,,,,,
44456,44456,1,,,,,,,,,
44457,44457,1,,,,,,,,,
44814,44814,1,,,,,,,,,
44815,44815,1,,,,,,,,,
44816,44816,1,,,,,,,,,
44817,44817,1,,,,,,,,,
45175,45175,1,,,,,,,,,
45176,45176,1,,,,,,,,,
45177,45177,1,,,,,,,,,
45178,45178,1,,,,,,,,,
45536,45536,1,,,,,,,,,
45537,45537,1,,,,,,,,,
45538,45538,1,,,,,,,,,
45539,45539,1,,,,,,,,,
45897,45897,1,,,,,,,,,
45898,45898,1,,,,,,,,,
45899,45899,1,,,,,,,,,
45900,45900,1,,,,,,,,,
46258,46258,1,,,,,,,,,
46259,46259,1,,,,,,,,,
46260,46260,1,,,,,,,,,
46261,46261,1,,,,,,,,,
46620,46620,1,,,,,,,,,
46621,46621,1,,,,,,,,,
46622,46622,1,,,,,,,,,
46980,46980,1,,,,,,,,,
46981,46981,1,,,,,,,,,
46982,46982,1,,,,,,,,,
46983,46983,1,,,,,,,,,
46984,46984,1,,,,,,,,,
47342,47342,1,,,,,,,,,
47343,47343,1,,,,,,,,,
47344,47344,1,,,,,,,,,
47345,47345,1,,,,,,,,,
47703,47703,1,,,,,,,,,
47704,47704,1,,,,,,,,,
47705,47705,1,,,,,,,,,
47706,47706,1,,,,,,,,,
47707,47707,1,,,,,,,,,
48064,48064,1,,,,,,,,,
48065,48065,1,,,,,,,,,
48066,48066,1,,,,,,,,,
48067,48067,1,,,,,,,,,
48068,48068,1,,,,,,,,,
48069,48069,1,,,,,,,,,
48427,48427,1,,,,,,,,,
48428,48428,1,,,,,,,,,
48429,48429,1,,,,,,,,,
48431,48431,1,,,,,,,,,
48432,48432,1,,,,,,,,,
48788,48788,1,,,,,,,,,
48789,48789,1,,,,,,,,,
48790,48790,1,,,,,,,,,
48791,48791,1,,,,,,,,,
48792,48792,1,,,,,,,,,
48793,48793,1,,,,,,,,,
48794,48794,1,,,,,,,,,
49151,49151,1,,,,,,,,,
49152,49152,1,,,,,,,,,
49153,49153,1,,,,,,,,,
49154,49154,1,,,,,,,,,
49155,49155,1,,,,,,,,,
49156,49156,1,,,,,,,,,
49514,49514,1,,,,,,,,,
49515,49515,1,,,,,,,,,
49516,49516,1,,,,,,,,,
49517,49517,1,,,,,,,,,
49875,49875,1,,,,,,,,,
49876,49876,1,,,,,,,,,
49877,49877,1,,,,,,,,,
49878,49878,1,,,,,,,,,
49879,49879,1,,,,,,,,,
49880,49880,1,,,,,,,,,
50238,50238,1,,,,,,,,,
50239,50239,1,,,,,,,,,
50240,50240,1,,,,,,,,,
50241,50241,1,,,,,,,,,
50599,50599,1,,,,,,,,,
50600,50600,1,,,,,,,,,
50601,50601,1,,,,,,,,,
50602,50602,1,,,,,,,,,
50603,50603,1,,,,,,,,,
50604,50604,1,,,,,,,,,
50961,50961,1,,,,,,,,,
50962,50962,1,,,,,,,,,
50963,50963,1,,,,,,,,,
50964,50964,1,,,,,,,,,
50965,50965,1,,,,,,,,,
50966,50966,1,,,,,,,,,
51322,51322,1,,,,,,,,,
51323,51323,1,,,,,,,,,
51324,51324,1,,,,,,,,,
51325,51325,1,,,,,,,,,
51326,51326,1,,,,,,,,,
51683,51683,1,,,,,,,,,
51684,51684,1,,,,,,,,,
51685,51685,1,,,,,,,,,
51686,51686,1,,,,,,,,,
52044,52044,1,,,,,,,,,
52045,52045,1,,,,,,,,,
52046,52046,1,,,,,,,,,
52047,52047,1,,,,,,,,,
52404,52404,1,,,,,,,,,
52405,52405,1,,,,,,,,,
52406,52406,1,,,,,,,,,
52407,52407,1,,,,,,,,,
52765,52765,1,,,,,,,,,
52766,52766,1,,,,,,,,,
52767,52767,1,,,,,,,,,
52768,52768,1,,,,,,,,,
53126,53126,1,,,,,,,,,
53127,53127,1,,,,,,,,,
53128,53128,1,,,,,,,,,
53129,53129,1,,,,,,,,,
53487,53487,1,,,,,,,,,
53488,53488,1,,,,,,,,,
53489,53489,1,,,,,,,,,
53490,53490,1,,,,,,,,,
53550,53550,1,,,,,,,,,
53848,53848,1,,,,,,,,,
53849,53849,1,,,,,,,,,
53850,53850,1,,,,,,,,,
53851,53851,1,,,,,,,,,
53909,53909,1,,,,,,,,,
53910,53910,1,,,,,,,,,
53911,53911,1,,,,,,,,,
53912,53912,1,,,,,,,,,
53913,53913,1,,,,,,,,,
54209,54209,1,,,,,,,,,
54210,54210,1,,,,,,,,,
54211,54211,1,,,,,,,,,
54212,54212,1,,,,,,,,,
54270,54270,1,,,,,,,,,
54271,54271,1,,,,,,,,,
54272,54272,1,,,,,,,,,
54273,54273,1,,,,,,,,,
54274,54274,1,,,,,,,,,
54570,54570,1,,,,,,,,,
54571,54571,1,,,,,,,,,
54572,54572,1,,,,,,,,,
54573,54573,1,,,,,,,,,
54629,54629,1,,,,,,,,,
54630,54630,1,,,,,,,,,
54631,54631,1,,,,,,,,,
54632,54632,1,,,,,,,,,
54633,54633,1,,,,,,,,,
54634,54634,1,,,,,,,,,
54637,54637,1,,,,,,,,,
54931,54931,1,,,,,,,,,
54932,54932,1,,,,,,,,,
54933,54933,1,,,,,,,,,
54934,54934,1,,,,,,,,,
54990,54990,1,,,,,,,,,
54991,54991,1,,,,,,,,,
54992,54992,1,,,,,,,,,
54993,54993,1,,,,,,,,,
54995,54995,1,,,,,,,,,
54998,54998,1,,,,,,,,,
54999,54999,1,,,,,,,,,
55292,55292,1,,,,,,,,,
55293,55293,1,,,,,,,,,
55294,55294,1,,,,,,,,,
55295,55295,1,,,,,,,,,
55351,55351,1,,,,,,,,,
55353,55353,1,,,,,,,,,
55354,55354,1,,,,,,,,,
55359,55359,1,,,,,,,,,
55360,55360,1,,,,,,,,,
55653,55653,1,,,,,,,,,
55654,55654,1,,,,,,,,,
55655,55655,1,,,,,,,,,
55656,55656,1,,,,,,,,,
55657,55657,1,,,,,,,,,
55708,55708,1,,,,,,,,,
55709,55709,1,,,,,,,,,
55712,55712,1,,,,,,,,,
55713,55713,1,,,,,,,,,
55718,55718,1,,,,,,,,,
55719,55719,1,,,,,,,,,
55720,55720,1,,,,,,,,,
55721,55721,1,,,,,,,,,
56015,56015,1,,,,,,,,,
56016,56016,1,,,,,,,,,
56017,56017,1,,,,,,,,,
56018,56018,1,,,,,,,,,
56073,56073,1,,,,,,,,,
56074,56074,1,,,,,,,,,
56078,56078,1,,,,,,,,,
56079,56079,1,,,,,,,,,
56080,56080,1,,,,,,,,,
56376,56376,1,,,,,,,,,
56377,56377,1,,,,,,,,,
56378,56378,1,,,,,,,,,
56379,56379,1,,,,,,,,,
56380,56380,1,,,,,,,,,
56428,56428,1,,,,,,,,,
56433,56433,1,,,,,,,,,
56438,56438,1,,,,,,,,,
56439,56439,1,,,,,,,,,
56440,56440,1,,,,,,,,,
56441,56441,1,,,,,,,,,
56738,56738,1,,,,,,,,,
56739,56739,1,,,,,,,,,
56740,56740,1,,,,,,,,,
