hex_id,gridcode,area
1,14,3.34584261
2,14,4.059400494
3,14,4.059401577
4,14,3.586380486
5,14,3.639202912
6,12,2.986994975
7,12,2.826789137
8,12,2.991941257
9,14,3.349795829
10,12,2.105819348
11,12,2.085698764
12,17,1.377908292
13,14,2.509581894
14,14,2.912596527
15,14,4.044190911
16,12,2.251515242
17,12,4.037518142
18,12,3.72718081
19,12,4.059400494
20,12,4.059400494
21,12,3.658667283
22,12,1.710466113
23,12,4.059400494
24,12,2.68100022
25,12,4.059402659
26,12,4.059400494
27,17,2.547263645
28,17,4.059401577
29,17,4.059401577
30,17,3.863429713
31,17,4.059400494
32,17,2.428437876
33,8,3.707172703
34,8,2.130368283
35,8,2.073233875
36,17,2.561230048
37,17,4.059400494
38,17,3.691521453
39,17,4.059401577
40,17,4.059401577
41,17,4.059400494
42,17,4.059400494
43,17,3.230526431
44,12,2.924627735
45,12,2.1812188040000002
46,12,3.055253481
47,17,2.506113592
48,12,2.358936178
49,17,3.84677318
50,12,1.39343671
51,17,3.931741815
52,12,3.428865982
53,14,3.600796529
54,14,2.059788562
55,17,3.148292995
56,17,4.059400494
57,17,4.059400494
58,17,4.059402659
59,17,4.059400494
60,17,4.059400494
61,17,4.059401577
62,17,4.059401577
63,17,4.059400494
64,17,4.059400494
65,17,4.059401577
66,17,4.059401577
67,17,4.059400494
68,17,4.059400494
69,17,4.059402659
70,17,4.059400494
71,17,4.059400494
72,17,4.059401577
73,17,4.059401577
74,17,4.059400494
75,17,4.059400494
76,17,4.059401577
77,17,4.059401577
78,17,4.059400494
79,17,4.059400494
80,17,4.059402659
81,17,4.059400494
82,17,4.059400494
83,17,4.059401577
84,17,4.059401577
85,17,4.059400494
86,17,4.059400494
87,17,4.059401577
88,17,4.059401577
89,17,4.059400494
90,17,4.059400494
91,17,4.059402659
92,17,4.059400494
93,17,4.059400494
94,17,4.059401577
95,17,4.059401577
96,17,4.059400494
97,17,4.059400494
98,17,4.059401577
99,17,4.059401577
100,17,4.059400494
101,17,4.059400494
102,17,4.059402659
103,17,4.059400494
104,17,4.059400494
105,17,4.059401577
106,17,4.059401577
107,17,4.059400494
108,17,4.059400494
109,17,4.059401577
110,17,4.059401577
111,17,4.059400494
112,17,4.059400494
113,17,4.059402659
114,17,4.059400494
115,17,4.059400494
116,17,4.059401577
117,17,4.059401577
118,17,4.059400494
119,17,4.059400494
120,17,4.059401577
121,17,4.059401577
122,17,4.059400494
123,17,4.059400494
124,17,4.059402659
125,17,4.059400494
126,17,4.059400494
127,17,4.059401577
128,17,4.059401577
129,17,4.059400494
130,17,4.059400494
131,17,4.059401577
132,17,4.059401577
133,17,4.059400494
134,17,4.059400494
135,17,4.059402659
136,17,4.059400494
137,17,4.059400494
138,17,4.059401577
139,17,4.059401577
140,17,4.059400494
141,17,4.059400494
142,17,4.059401577
143,17,4.059401577
144,17,4.059400494
145,17,4.059401577
146,17,4.059401577
147,17,4.059400494
148,17,4.059400494
149,17,4.059401577
150,17,4.059401577
151,17,4.059400494
152,17,4.059400494
153,17,4.059401577
154,17,4.059401577
155,17,4.059400494
156,17,4.059401577
157,17,4.059401577
158,17,4.059400494
159,17,4.059400494
160,17,4.059401577
161,17,4.059401577
162,17,4.059400494
163,17,4.059400494
164,17,4.059401577
165,17,4.059401577
166,17,4.059400494
167,17,4.059401577
168,17,4.059401577
169,17,4.059400494
170,17,4.059400494
171,17,4.059401577
172,17,4.059401577
173,17,4.059400494
174,17,4.059400494
175,17,4.059401577
176,17,4.059401577
177,17,4.059400494
178,17,4.059401577
179,17,4.059401577
180,17,4.059400494
181,17,4.059400494
182,17,4.059401577
183,17,4.059401577
184,17,4.059400494
185,17,4.059400494
186,17,4.059401577
187,17,4.059401577
188,17,4.059400494
189,17,4.059401577
190,17,4.059401577
191,17,4.059400494
192,17,4.059400494
193,17,4.059401577
194,17,4.059401577
195,17,4.059400494
196,17,4.059400494
197,17,4.059401577
198,17,4.059401577
